run_id,best_path_length,iterations,total_time
1,,100,3.4787116050720215
2,,100,3.573044776916504
3,,100,3.5116076469421387
4,,100,3.5637624263763428
5,,100,3.5482065677642822
6,,100,3.4525487422943115
7,,100,3.480701446533203
8,,100,3.5898866653442383
9,,100,3.508288621902466
10,,100,3.488490343093872
11,,100,3.4683399200439453
12,,100,3.503495931625366
13,,100,3.4764652252197266
14,,100,3.4914867877960205
15,,100,3.5889079570770264
16,,100,3.4033634662628174
17,,100,3.4599108695983887
18,,100,3.45351243019104
19,,100,3.5347652435302734
20,,100,3.8587982654571533
21,,100,3.914710760116577
22,,100,3.92857027053833
23,,100,4.348145961761475
24,,100,4.019855260848999
25,,100,3.9803473949432373
26,,100,3.7602837085723877
27,,100,4.099612474441528
28,,100,4.04209303855896
29,,100,4.040846586227417
30,,100,3.998446464538574
